363453.00,363452.54,-0.74,0.43,0.78,0.85
363455.00,363454.54,-1.00,0.27,2.62,0.35
363459.00,363458.54,4.38,7.07,3.45,0.99
363460.00,363459.54,-0.86,1.33,-0.15,1.54
363461.00,363460.54,-0.22,-1.16,1.11,1.72
363462.00,363461.54,0.58,-0.97,-2.45,1.28
363463.00,363462.54,0.40,-1.51,-1.75,2.32
363464.00,363463.54,-0.07,-5.44,-5.80,2.74
363465.00,363464.54,0.61,-1.25,-3.24,2.96
363466.00,363465.54,-0.66,0.62,-1.90,3.00
363467.00,363466.54,-1.71,0.55,-1.03,2.84
363468.00,363467.54,-1.20,1.30,-1.32,2.18
363469.00,363468.54,-0.88,0.18,-1.36,1.58
363470.00,363469.54,0.23,0.81,-0.87,1.18
363471.00,363470.54,0.86,0.91,-0.68,0.87
363472.00,363471.54,-0.32,0.38,-0.20,0.66
363473.00,363472.55,-0.12,0.24,-0.01,0.03
363474.00,363473.54,0.00,0.32,0.01,0.02
363475.00,363474.54,-0.04,0.27,-0.00,0.00
363476.00,363475.55,-0.12,0.10,0.27,0.00
363477.00,363476.54,0.02,-0.01,-0.02,0.00
363478.00,363477.54,-0.16,0.10,-0.13,0.00
363479.00,363478.55,0.01,0.18,-0.11,0.00
363480.00,363479.54,-0.01,0.25,-0.13,0.00
363481.00,363480.54,0.01,0.28,-0.16,0.02
363482.00,363481.55,-0.12,0.25,-0.14,0.26
363483.00,363482.54,0.12,0.09,0.12,0.05
363484.00,363483.54,-0.04,0.21,0.03,0.00
363485.00,363484.54,-0.04,0.10,0.10,0.02
363486.00,363485.54,-0.03,0.06,0.05,0.00
363487.00,363486.54,-0.03,0.07,-0.04,0.00
363488.00,363487.54,0.09,0.09,0.03,0.00
363489.00,363488.55,0.01,0.06,-0.02,0.00
363490.00,363489.54,-0.01,-0.05,0.09,0.00
363491.00,363490.54,0.03,0.06,-0.02,0.00
363492.00,363491.54,-0.01,0.09,-0.07,0.00
363493.00,363492.54,0.09,0.05,0.04,0.00
363494.00,363493.54,-0.06,0.01,0.05,0.00
363495.00,363494.54,-0.05,0.04,-0.02,0.00
363496.00,363495.54,-0.04,0.09,-0.01,0.00
363497.00,363496.54,-0.00,0.03,0.08,0.00
363498.00,363497.54,0.01,-0.01,0.07,0.00
363499.00,363498.54,-0.00,0.01,0.06,0.00
363500.00,363499.54,-0.06,-0.05,0.08,0.00
363501.00,363500.54,-0.03,0.15,0.16,0.00
363502.00,363501.55,-0.00,-0.03,0.01,0.00
363503.00,363502.54,-0.01,-0.00,-0.04,0.00
363504.00,363503.54,-0.01,0.00,-0.06,0.00
363505.00,363504.54,2.98,2.57,-1.27,0.00
363506.00,363505.54,0.02,0.03,-0.05,0.00
363507.00,363506.54,-0.12,-0.09,0.11,0.00
363508.00,363507.54,0.05,0.06,-0.03,0.00
363509.00,363508.54,0.04,0.00,-0.02,0.00
363510.00,363509.54,-0.05,-0.00,0.03,0.00
363511.00,363510.54,0.07,-0.04,-0.05,0.00
363512.00,363511.55,-0.07,-0.09,0.02,0.00
363513.00,363512.54,0.06,0.02,-0.05,0.00
363514.00,363513.54,-0.02,0.12,0.09,0.00
363515.00,363514.55,-0.04,-0.05,0.02,0.00
363516.00,363515.54,0.03,-0.02,-0.03,0.00
363517.00,363516.55,0.02,-0.04,-0.08,0.00
363518.00,363517.54,0.02,0.03,0.05,0.00
363519.00,363518.54,-0.05,0.05,0.03,0.00
363520.00,363519.54,0.05,-0.03,0.02,0.00
363521.00,363520.54,-0.01,-0.00,-0.01,0.00
