275464.00,6.43,-0.56,0.17
275465.00,6.15,-0.38,2.00
275466.00,6.88,-0.19,-0.07
275467.00,6.67,-0.34,0.74
275468.00,6.34,0.20,0.76
275469.00,6.25,0.66,0.86
275470.00,6.58,0.34,0.67
275471.00,6.69,-0.11,0.21
275472.00,6.54,-0.15,0.09
275473.00,6.51,-0.36,-1.02
275474.00,6.07,-0.28,0.27
275475.00,5.91,-0.32,0.14
275476.00,5.59,-0.27,0.03
275477.00,5.30,0.07,-0.26
275478.00,5.75,0.49,-6.30
275479.00,5.14,-0.02,-0.37
275480.00,4.34,0.11,0.72
275481.00,3.59,-0.06,-0.05
275482.00,3.02,-0.23,-0.04
275483.00,2.39,-0.59,0.08
275484.00,2.56,-1.19,-0.05
275485.00,2.48,-2.18,0.08
275486.00,1.91,-3.18,0.03
275487.00,1.55,-3.96,0.04
275488.00,0.56,-4.19,-0.05
275489.00,-0.80,-3.73,-0.02
275490.00,-2.02,-2.86,-0.09
275491.00,-3.08,-1.41,-0.12
275492.00,-3.93,0.05,0.24
275493.00,-4.96,0.15,-0.00
275494.00,-5.11,-0.15,-0.03
275495.00,-5.26,-0.14,-0.06
275496.00,-5.47,0.10,0.18
275497.00,-5.80,0.57,0.22
275498.00,-5.82,0.07,0.15
275499.00,-6.17,0.01,-0.10
275500.00,-6.19,-0.06,0.06
275501.00,-6.07,-0.07,0.04
275502.00,-6.41,-0.00,0.00
275503.00,-6.48,0.08,-0.04
275504.00,-6.15,-0.01,-0.04
275505.00,-6.33,0.41,-0.13
275506.00,-6.79,-0.08,-0.24
275507.00,-6.00,-1.00,-0.23
275508.00,-5.31,-2.07,-0.19
275509.00,-5.35,-1.85,0.00
275510.00,-5.68,-0.94,-0.02
275511.00,-6.11,-0.36,0.04
275512.00,-6.13,0.27,-0.05
275513.00,-5.74,0.19,-0.12
275514.00,-5.66,0.15,-0.06
275515.00,-5.41,0.09,0.02
275516.00,-4.93,-0.53,0.12
275517.00,-4.72,-0.31,0.05
275518.00,-4.06,0.06,-0.00
275519.00,-4.07,0.38,0.11
275520.00,-4.90,0.35,0.05
275521.00,-5.16,-1.01,0.01
275522.00,-4.36,-2.59,-0.13
275523.00,-2.78,-3.82,-0.00
275524.00,-1.14,-4.35,0.09
275525.00,-0.54,-5.09,-0.01
275526.00,-0.48,-5.74,0.02
275527.00,-0.74,-5.70,-0.05
275528.00,-0.66,-5.93,0.03
275529.00,-1.17,-6.05,0.06
275530.00,-1.30,-5.92,0.04
275531.00,-1.44,-6.09,0.03
275532.00,-1.00,-6.29,0.03
275533.00,-0.58,-6.10,0.04
275534.00,-0.64,-6.22,0.02
275535.00,-0.88,-6.40,0.05
275536.00,-1.11,-6.20,0.04
275537.00,-0.59,-6.45,0.01
275538.00,-0.48,-6.52,-0.01
275539.00,-0.96,-6.25,-0.01
275540.00,-0.66,-6.48,-0.00
275541.00,-0.61,-6.54,-0.05
275542.00,-0.68,-6.39,0.01
275543.00,-0.48,-6.52,-0.02
275544.00,-0.41,-6.53,0.03
275545.00,-0.10,-6.35,-0.03
275546.00,-0.40,-6.41,0.01
275547.00,-0.58,-6.53,-0.01
275548.00,-0.52,-6.41,-0.00
275549.00,-0.13,-6.55,-0.01
275550.00,-0.29,-6.53,-0.04
275551.00,-0.57,-6.34,0.00
275552.00,-1.02,-6.31,0.05
275553.00,-0.76,-6.54,0.04
275554.00,-0.50,-6.47,0.03
275555.00,-0.37,-6.54,-0.01
275556.00,-0.73,-6.41,0.00
275557.00,-0.90,-6.25,-0.02
275558.00,-0.87,-6.48,-0.08
275559.00,-0.78,-6.58,-0.01
275560.00,-0.82,-6.35,-0.02
275561.00,-0.72,-6.48,-0.03
275562.00,-0.47,-6.61,0.07
275563.00,-0.56,-6.30,-0.05
275564.00,-0.89,-6.35,0.01
275565.00,-0.74,-6.59,-0.04
275566.00,-0.66,-6.36,0.03
275567.00,-0.79,-6.38,0.00
275568.00,-0.81,-6.51,0.02
275569.00,-0.61,-6.44,-0.03
275570.00,-0.90,-6.35,0.02
275571.00,-0.72,-6.52,0.05
275572.00,-0.31,-6.38,-0.03
275573.00,-0.50,-6.34,0.07
275574.00,-0.81,-6.41,0.05
275575.00,-0.84,-6.38,-0.00
275576.00,-0.82,-6.49,0.03
275577.00,-0.68,-6.59,-0.07
275578.00,-0.86,-6.32,0.08
275579.00,-0.67,-6.50,-0.02
