363453.00,0.30,0.43,1.03
363455.00,1.89,0.73,1.96
363459.00,1.00,-7.33,5.13
363460.00,-0.93,0.08,1.29
363461.00,1.41,0.77,-0.21
363462.00,-1.55,-0.02,-2.21
363463.00,-0.75,0.41,-2.18
363464.00,-2.65,2.77,-6.96
363465.00,-2.10,0.10,-2.83
363466.00,-2.08,0.26,-0.21
363467.00,-1.56,1.20,0.63
363468.00,-1.67,0.61,0.96
363469.00,-1.49,0.76,0.56
363470.00,-0.97,0.27,0.19
363471.00,-0.74,0.39,-0.28
363472.00,-0.53,-0.03,-0.23
363473.00,-0.37,-0.23,-0.26
363474.00,-0.39,-0.37,-0.10
363475.00,-0.26,-0.33,-0.15
363476.00,-0.24,-0.29,-0.18
363477.00,-0.06,-0.23,-0.25
363478.00,-0.20,-0.14,-0.12
363479.00,-0.14,-0.35,-0.13
363480.00,-0.15,-0.35,-0.11
363481.00,-0.28,-0.42,-0.12
363482.00,-0.31,-0.31,-0.08
363483.00,0.03,-0.39,-0.14
363484.00,-0.15,-0.23,-0.05
363485.00,-0.02,-0.15,-0.02
363486.00,-0.03,-0.12,-0.04
363487.00,-0.10,-0.14,-0.05
363488.00,0.09,-0.34,0.15
363489.00,-0.10,-0.13,-0.06
363490.00,-0.05,-0.05,-0.05
363491.00,-0.07,-0.06,-0.04
363492.00,-0.13,0.00,-0.03
363493.00,-0.08,-0.05,-0.03
363494.00,0.12,0.03,-0.01
363495.00,-0.02,-0.10,0.20
363496.00,-0.03,-0.07,0.10
363497.00,0.05,-0.08,0.04
363498.00,0.11,-0.03,-0.02
363499.00,0.04,-0.03,0.03
363500.00,0.07,0.05,0.06
363501.00,0.05,0.01,0.08
363502.00,0.02,-0.03,0.02
363503.00,-0.03,-0.09,-0.01
363504.00,-0.04,-0.13,-0.03
363505.00,0.01,-0.12,-0.03
363506.00,-0.36,-2.20,4.36
363507.00,0.01,0.07,0.47
363508.00,-0.01,0.12,-0.92
363509.00,0.00,-0.14,-0.05
363510.00,0.01,-0.00,0.01
363511.00,-0.01,0.05,0.03
363512.00,0.01,-0.03,-0.00
363513.00,-0.01,-0.03,-0.00
363514.00,0.01,0.01,0.05
363515.00,0.04,0.04,-0.03
363516.00,-0.02,-0.03,-0.01
