   -0.873,    0.038,    0.489
    0.226,   -0.786,   -0.060
    0.775,    1.412,    0.764
   -1.148,    0.862,   -1.983
    0.500,   -0.786,    1.313
   -0.049,   -1.060,    0.214
    1.874,   -1.610,   -1.159
   -0.324,   -0.236,   -1.983
    0.775,   -1.884,    2.412
    0.500,    0.862,    2.137
    1.050,   -0.786,   -0.884
   -0.049,    2.236,   -2.532
   -1.148,    0.313,    0.764
    1.050,    0.038,    1.313
   -0.324,    1.412,    0.489
    2.698,   -0.511,   -1.708
   -1.422,   -1.335,    1.862
   -0.049,   -1.610,    2.137
    1.324,    2.236,   -0.060
    1.599,   -2.434,   -0.060
    0.226,    1.412,    1.862
   -0.598,    0.588,    2.137
    0.226,   -0.786,   -0.335
    3.796,   -1.610,    0.214
   -1.697,   -0.786,   -0.335
   -0.324,    2.510,    2.137
    0.500,    2.510,    0.764
   -1.148,    0.038,   -0.609
    0.226,   -5.455,    1.313
   -0.049,    1.137,   -1.159
    2.698,   -0.236,   -0.335
   -0.598,    0.588,   -1.433
   -1.697,   -1.610,    0.489
   -0.049,    0.038,    0.489
    1.050,   -1.335,   -1.708
    1.050,   -1.610,   -0.060
   -0.049,   -1.884,    0.764
    1.050,    0.862,   -1.708
    1.324,    0.038,   -1.159
    0.775,   -0.786,    2.137
    0.500,    0.038,    1.313
   -0.049,    3.060,   -0.335
    1.324,   -0.236,   -2.257
   -0.324,    0.313,    1.313
   -0.598,   -0.786,   -0.060
   -0.324,    3.609,   -0.884
   -0.873,   -1.610,   -0.609
    2.698,   -0.786,    0.489
   -2.246,    1.686,   -0.060
    1.050,    2.236,   -0.060
    1.599,    0.038,   -0.335
    0.500,    0.588,    0.764
    1.874,    0.862,   -0.609
    0.775,    1.686,   -0.060
   -2.521,   -1.335,    1.862
   -0.324,    1.961,   -0.884
    0.226,    0.038,   -1.433
    0.500,   -1.060,   -0.060
   -1.422,   -1.060,    0.764
    0.775,    0.588,    1.038
    1.050,    2.785,   -0.884
    3.247,   -1.884,   -0.609
    1.050,   -0.511,    1.313
   -0.598,    0.862,    1.038
   -1.148,   -0.786,   -2.257
   -1.422,   -1.335,    1.038
    1.599,   -0.786,   -0.884
    1.874,    0.862,   -0.335
    0.500,    3.060,   -0.884
    3.247,   -2.708,   -0.609
    0.226,   -0.786,   -0.060
    0.775,   -2.434,   -1.433
    0.775,    1.412,   -0.884
   -0.049,    1.137,   -0.060
   -2.521,    1.137,   -2.257
    0.500,   -1.884,    0.489
   -0.049,   -0.511,   -1.159
    2.423,    0.588,   -0.335
    1.324,   -0.511,   -0.060
   -1.972,    0.313,   -0.060
   -0.049,   -2.708,   -1.159
   -0.049,   -0.236,   -0.884
   -0.324,   -2.983,    1.038
   -0.598,   -0.511,    0.489
   -0.598,    0.862,   -1.708
    0.775,   -2.159,   -2.257
   -1.148,    0.313,   -0.060
   -0.324,   -1.610,   -0.060
    2.698,    0.038,   -0.335
    2.972,    1.137,    0.214
    1.599,   -0.511,   -1.159
   -0.598,    0.313,   -0.060
   -0.598,    0.313,    0.489
    2.698,    0.588,    0.764
    1.324,    2.236,   -2.257
   -1.972,   -1.335,    1.313
    1.599,   -0.786,   -0.335
   -0.049,   -0.786,    1.038
    0.226,   -2.159,   -0.060
    2.423,   -1.060,    1.862
    3.247,    0.588,    0.764
   -1.972,    1.961,   -2.257
   -0.324,    0.313,   -0.060
    1.874,   -0.786,    0.764
    0.226,    0.862,   -0.609
   -0.049,   -0.511,    1.313
   -0.324,   -0.236,    1.313
   -0.049,    0.313,    1.862
   -1.148,   -1.335,   -0.335
   -0.873,   -0.786,   -0.060
   -0.324,    1.961,   -0.335
   -3.070,    0.588,    0.214
    1.050,   -1.884,    1.588
    1.050,   -1.884,   -0.884
   -0.049,   -0.236,    1.588
    1.050,   -1.335,    0.489
   -0.598,    1.412,   -1.433
    1.324,   -1.335,   -2.532
   -0.049,    0.588,   -0.609
   -1.422,    0.862,   -0.884
    1.874,    1.137,    0.214
    2.423,    0.038,    0.489
    2.972,   -0.786,    1.038
   -0.598,    2.236,   -1.433
    1.599,   -1.884,    1.862
   -1.422,   -1.060,   -0.060
   -0.324,    0.038,   -0.884
    1.050,    0.038,    1.313
    1.599,   -1.610,   -1.983
    0.226,    2.236,   -0.060
   -2.246,   -0.511,   -0.335
    1.599,   -1.060,   -0.609
    0.500,    0.038,   -0.609
   -0.049,    0.313,   -1.983
   -0.049,    0.038,    1.588
   -2.521,    0.313,    0.489
   -1.422,   -0.511,    2.137
    1.050,    1.137,    0.764
    0.500,    1.412,    1.588
    0.775,    0.862,   -0.884
    0.226,    1.412,    0.489
    0.775,   -0.786,   -0.335
   -1.148,    0.313,    1.313
    0.500,   -0.511,    0.214
    2.423,   -1.060,    1.038
   -0.598,    1.137,    0.764
   -0.049,    0.313,    1.038
    0.775,    1.686,    0.214
   -1.697,    0.313,    1.862
    0.226,   -1.060,    0.489
   -1.148,    0.038,    1.862
