363518.00,0.01,0.01,-0.01,0.00,-0.00,0.00,-0.00,-0.00,-0.01
363519.00,-0.01,0.01,0.07,0.00,-0.00,0.00,0.02,0.01,0.02
363520.00,0.06,-0.04,-0.05,0.00,-0.00,0.00,-0.01,-0.00,0.04
363521.00,-0.02,0.01,0.02,0.00,-0.00,0.00,0.01,0.00,0.01
363522.00,0.01,0.04,0.03,0.00,-0.00,0.00,-0.01,-0.00,0.02
363523.00,-0.03,0.01,-0.01,0.00,-0.00,0.00,0.00,-0.01,0.02
363524.00,0.04,-0.02,0.00,0.05,0.13,-0.00,0.04,-0.02,0.00
363525.00,-0.02,0.06,-0.01,0.14,0.08,-0.00,-0.02,0.06,-0.01
363526.00,-0.02,0.12,-0.01,0.20,0.13,-0.00,-0.02,0.12,-0.01
363527.00,0.27,0.08,-0.04,-0.22,0.70,0.00,0.27,0.08,-0.04
363528.00,-0.16,0.48,-0.01,0.12,0.68,0.00,-0.16,0.48,-0.01
363529.00,-0.57,0.34,0.07,0.24,0.56,0.01,-0.57,0.34,0.07
363530.00,0.11,0.18,-0.07,-0.18,0.42,0.01,0.11,0.18,-0.07
363531.00,-0.63,0.20,-0.11,-0.20,0.26,0.01,-0.63,0.20,-0.11
363532.00,-2.71,0.77,-0.22,-0.35,0.15,0.00,-2.71,0.77,-0.22
363533.00,-0.72,-0.24,-0.23,0.00,-0.00,0.00,0.02,-0.04,0.12
363534.00,-0.09,-0.08,-0.12,0.00,-0.00,0.00,-0.00,-0.00,-0.01
363535.00,-0.47,-0.27,-0.14,0.00,-0.00,0.00,0.02,0.07,-0.17
363536.00,-0.30,-0.16,-0.15,0.00,-0.00,0.00,-0.00,-0.00,0.02
363537.00,0.14,0.01,-0.15,0.00,-0.00,0.00,-0.00,-0.01,0.03
363538.00,0.28,0.06,-0.15,0.00,-0.00,0.00,0.00,-0.01,0.01
363539.00,0.31,0.14,-0.15,0.00,-0.00,0.00,-0.01,-0.00,-0.01
363540.00,0.21,0.09,-0.16,0.00,-0.00,0.00,-0.00,-0.00,0.01
363541.00,-0.12,0.07,-0.17,-0.06,0.09,-0.00,0.00,0.00,0.01
363542.00,-0.27,0.04,-0.17,0.00,-0.00,0.00,-0.00,0.00,0.00
363543.00,-0.05,-0.01,-0.16,-0.09,0.02,-0.00,-0.00,0.00,0.03
363544.00,-0.03,-0.07,-0.14,0.00,-0.00,0.00,0.00,-0.00,0.01
363545.00,-0.03,-0.10,-0.12,0.00,-0.00,0.00,-0.00,-0.00,0.00
363546.00,0.14,-0.05,-0.10,0.00,-0.00,0.00,0.00,-0.00,0.04
363547.00,0.25,0.02,-0.08,0.00,-0.00,0.00,-0.00,-0.00,0.01
363548.00,1.12,0.28,0.13,0.00,-0.00,0.00,0.00,-0.00,0.03
363549.00,-0.04,0.12,-0.06,0.00,-0.00,0.00,0.01,0.00,0.03
363550.00,1.18,-0.02,0.07,0.00,-0.00,0.00,-0.00,0.00,0.04
363551.00,-0.07,0.05,-0.04,0.00,-0.00,0.00,0.01,-0.00,-0.01
363552.00,0.86,-0.06,-0.03,0.00,-0.00,0.00,-0.01,-0.00,0.04
363553.00,0.45,0.03,-0.01,0.00,-0.00,0.00,-0.00,-0.01,-0.02
363554.00,0.36,0.03,-0.08,0.00,-0.00,0.00,0.01,0.01,0.05
363555.00,0.38,0.03,-0.11,0.00,-0.00,0.00,0.00,0.00,0.01
363556.00,0.28,0.01,-0.07,0.00,-0.00,0.00,-0.00,-0.01,0.02
363557.00,0.10,-0.05,-0.06,0.00,-0.00,0.00,0.01,0.01,0.02
363558.00,0.30,0.09,-0.06,0.00,-0.00,0.00,-0.00,0.00,0.02
363559.00,0.21,0.06,-0.06,0.00,-0.00,0.00,-0.00,-0.01,0.01
363560.00,0.16,-0.07,-0.04,0.00,-0.00,0.00,0.00,0.00,0.02
363561.00,0.08,-0.01,-0.02,0.00,-0.00,0.00,0.00,-0.00,0.02
363562.00,0.03,-0.09,-0.01,0.00,-0.00,0.00,-0.00,-0.00,0.02
363563.00,0.10,-0.02,0.01,0.00,-0.00,0.00,0.00,-0.00,0.02
363564.00,0.05,-0.10,0.03,0.00,-0.00,0.00,0.00,0.01,0.03
363565.00,0.06,-0.01,0.04,0.00,-0.00,0.00,0.00,-0.01,0.02
363566.00,-0.06,-0.11,0.36,0.00,-0.00,0.00,0.00,0.01,0.02
363567.00,-1.35,-2.27,2.80,0.00,-0.00,0.00,-0.00,0.00,0.02
